"KeyName","KeyValue","Explanation","PossibleValues"
"CIFS_Enable_Vetofiles","0","fakeValue","fakeValue"
"CIFS_Vetofiles","","fakeValue","fakeValue"
"CIFS_Level","0","fakeValue","fakeValue"
"CIFS_DIR_Sort","0","fakeValue","fakeValue"
"CIFS_Reset_On_Zero_Vc","0","fakeValue","fakeValue"
"CIFS_SMB2","1","fakeValue","fakeValue"
"CIFS_Max_Protocol","SMB2_10","fakeValue","fakeValue"
"CIFS_Min_Protocol","SMB2","fakeValue","fakeValue"
"CIFS_Max_Protocol_v2","SMB3","fakeValue","fakeValue"
"CIFS_UnixMask","0","fakeValue","fakeValue"
"CIFS_Encry_Transpose","","fakeValue","fakeValue"
"CIFS_Strict_Allocate","0","fakeValue","fakeValue"
"CIFS_Wildcard_Search","0","fakeValue","fakeValue"
"CIFS_Durable_Handles","0","fakeValue","fakeValue"
"CIFS_SMB2_Leases","0","fakeValue","fakeValue"
"CIFS_Syno_Catia","0","fakeValue","fakeValue"
"CIFS_Delete_Veto_Files","0","fakeValue","fakeValue"
"CIFS_Enable_Server_Signing","0","fakeValue","fakeValue"
"CIFS_Fruit_Locking","0","fakeValue","fakeValue"
"CIFS_Access_Based_Share_Enum","0","fakeValue","fakeValue"
"CIFS_Enable_NTLMv1_Auth","0","fakeValue","fakeValue"
"CIFS_Enable_AIO_Read","0","fakeValue","fakeValue"
"CIFS_Transferlog_Create","1","fakeValue","fakeValue"
"CIFS_Transferlog_Write","1","fakeValue","fakeValue"
"CIFS_Transferlog_Move","1","fakeValue","fakeValue"
"CIFS_Transferlog_Delete","1","fakeValue","fakeValue"
"CIFS_Transferlog_Read","1","fakeValue","fakeValue"
"CIFS_Transferlog_Rename","1","fakeValue","fakeValue"
"CIFS_Transferlog_PermissionChange","0","fakeValue","fakeValue"
"AFP_isEnableAFP","0","fakeValue","fakeValue"
"AFP_isEnableXferLog","0","fakeValue","fakeValue"
"AFP_isEnableUmask","0","fakeValue","fakeValue"
"AFP_isDisconnectQuick","0","fakeValue","fakeValue"
"NFS_isEnableNFS","0","fakeValue","fakeValue"
"NFS_ReadSize","8192","fakeValue","fakeValue"
"NFS_WriteSize","8192","fakeValue","fakeValue"
"NFS_Principal","","fakeValue","fakeValue"
"NFS_V4Enable","0","fakeValue","fakeValue"
"NFS_DefUnixEnable","1","fakeValue","fakeValue"
"NFS_CustomPortEnable","0","fakeValue","fakeValue"
"NFS_StatdPort","0","fakeValue","fakeValue"
"NFS_NlmPort","0","fakeValue","fakeValue"
"NFS_Domain","","fakeValue","fakeValue"
"NFS_NobodyUser","guest","fakeValue","fakeValue"
"NFS_NobodyGroup","users","fakeValue","fakeValue"
"NFS_MapMethod","nsswitch","fakeValue","fakeValue"
"NFS_GSSMapMethod","static,synomap","fakeValue","fakeValue"
"FTP_isEnableFTP","0","fakeValue","fakeValue"
"FTP_port","21","fakeValue","fakeValue"
"FTP_lowPort","0","fakeValue","fakeValue"
"FTP_highPort","0","fakeValue","fakeValue"
"FTP_isReportInPSAV","0","fakeValue","fakeValue"
"FTP_szExtIP","","fakeValue","fakeValue"
"FTP_isEnableUTF8","1","fakeValue","fakeValue"
"FTP_isUseUTF8","0","fakeValue","fakeValue"
"FTP_isEnableLog","0","fakeValue","fakeValue"
"FTP_isEnableSSL","0","fakeValue","fakeValue"
"FTP_limit_connection","0","fakeValue","fakeValue"
"FTP_upload_limit","0","fakeValue","fakeValue"
"FTP_download_limit","0","fakeValue","fakeValue"
"FTP_isChroot","0","fakeValue","fakeValue"
"FTP_isEnableAnon","0","fakeValue","fakeValue"
"FTP_szChrootAnon","","fakeValue","fakeValue"
"FTP_szChrootUidList","","fakeValue","fakeValue"
"FTP_szChrootRuleList","","fakeValue","fakeValue"
"FTP_isEnableFXP","0","fakeValue","fakeValue"
"FTP_timeout","300","fakeValue","fakeValue"
"FTP_isEnableFIPS","0","fakeValue","fakeValue"
"FTP_isEnableBandwidthLimit","0","fakeValue","fakeValue"
"FTP_isEnableSFTP","0","fakeValue","fakeValue"
"FTP_sftp_port","22","fakeValue","fakeValue"
"FTP_szBandwidthPlan","","fakeValue","fakeValue"
"FTP_szModifyTimeStd","utc","fakeValue","fakeValue"
"FTP_isEnableASCII","0","fakeValue","fakeValue"
"FTP_isEnableUmask","0","fakeValue","fakeValue"
"FTP_isEnableFlowControl","0","fakeValue","fakeValue"
"FTP_isEnableAnonChroot","0","fakeValue","fakeValue"
"NetBKP_isEnableNetBkp","0","fakeValue","fakeValue"
"NetBKP_rsyncSshdPort","22","fakeValue","fakeValue"
"NetBKP_isRsync_Mode","0","fakeValue","fakeValue"
"NetBKP_isEnableS2S","0","fakeValue","fakeValue"
"NetBKP_PairID","","fakeValue","fakeValue"
"NetBKP_PairName","","fakeValue","fakeValue"
"NetBKP_isEnableTimeBkp","1","fakeValue","fakeValue"
"NetBKP_isEnableBandwidthLimit","0","fakeValue","fakeValue"
"NetBKP_szBandwidthPlan","","fakeValue","fakeValue"
"S2S_share_table","[]
","fakeValue","fakeValue"
"S2S_task_table","[]
","fakeValue","fakeValue"
"SD_isEnableSSDP","1","fakeValue","fakeValue"
"SD_isEnableWSTransfer","1","fakeValue","fakeValue"
"SD_isEnableAvahi","0","fakeValue","fakeValue"
"SD_isEnableBonjourPrinter","0","fakeValue","fakeValue"
"SD_isEnableAFPTimeMachine","0","fakeValue","fakeValue"
"SD_isEnableSMBTimeMachine","0","fakeValue","fakeValue"
"ADV_isEnableReflinkCopy","0","fakeValue","fakeValue"
"SNMP_isEnableSNMP","1","fakeValue","fakeValue"
"SNMP_V1V2cRocommunity","public","fakeValue","fakeValue"
"SNMP_Nname","dsm0","fakeValue","fakeValue"
"SNMP_Location","wardrobe","fakeValue","fakeValue"
"SNMP_Contact","jacekduma@gmail.com","fakeValue","fakeValue"
